# File generated by CMD 3.6 (http://stev.oapd.inaf.it/cmd) on Sun Dec 12 22:22:23 CET 2021
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods are from Trabucchi et al. (2021)
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# Attention: photometry includes extinction of Av=0.12, with coefficients derived star-by-star, for Cardelli et al 89 + O'Donnell 94 Rv=3.1 extinction curve.
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
 Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Umag    Bmag    Vmag    Rmag    Imag    Jmag    Hmag    Kmag
0.0004479 -1.54000 7.00000 0.0900000036 1.0816895962    0.090 -1.852  3.5381  4.349    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.99e-15      0.00 7.504e-01 2.491e-01 8.343e-05 2.251e-05 2.041e-04 -1.000 4.640e-04 9.401 14.006 12.572 10.926 9.801 8.825 7.688 7.097 6.876
0.0004479 -1.54000 7.00000 0.0937350765 1.1165343523    0.094 -1.829  3.5402  4.352    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.11e-15      0.00 7.504e-01 2.491e-01 8.343e-05 2.251e-05 2.041e-04 -1.000 4.640e-04 9.342 13.896 12.480 10.847 9.729 8.765 7.634 7.042 6.821
0.0004479 -1.54000 7.00000 0.1000000015 1.1711064577    0.100 -1.789  3.5435  4.353    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.35e-15      0.00 7.504e-01 2.491e-01 8.343e-05 2.251e-05 2.041e-04 -1.000 4.640e-04 9.243 13.715 12.328 10.715 9.610 8.663 7.544 6.949 6.728
0.0004479 -1.54000 7.00000 0.1016650796 1.1848667860    0.102 -1.780  3.5443  4.354    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -4.4e-15      0.00 7.504e-01 2.491e-01 8.343e-05 2.251e-05 2.041e-04 -1.000 4.640e-04 9.220 13.672 12.292 10.684 9.582 8.639 7.523 6.927 6.706
0.0004479 -1.54000 7.00000 0.1146210879 1.2827955484    0.115 -1.708  3.5499  4.357    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.88e-15      0.00 7.504e-01 2.491e-01 8.343e-05 2.251e-05 2.041e-04 -1.000 4.641e-04 9.041 13.354 12.024 10.451 9.369 8.455 7.359 6.757 6.536
0.0004479 -1.54000 7.00000 0.1199999973 1.3193154335    0.120 -1.680  3.5521  4.358    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.08e-15      0.00 7.504e-01 2.491e-01 8.343e-05 2.251e-05 2.041e-04 -1.000 4.639e-04 8.971 13.233 11.921 10.361 9.288 8.384 7.295 6.692 6.470
0.0004479 -1.54000 7.00000 0.1296909899 1.3800266981    0.130 -1.634  3.5556  4.359    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.42e-15      0.00 7.504e-01 2.491e-01 8.343e-05 2.251e-05 2.041e-04 -1.000 4.639e-04 8.856 13.035 11.753 10.214 9.154 8.267 7.189 6.583 6.361
0.0004479 -1.54000 7.00000 0.1400000006 1.4384527206    0.140 -1.588  3.5591  4.360    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -5.8e-15      0.00 7.504e-01 2.491e-01 8.343e-05 2.251e-05 2.041e-04 -1.000 4.641e-04 8.739 12.837 11.584 10.066 9.019 8.148 7.082 6.473 6.251
0.0004479 -1.54000 7.00000 0.1599999964 1.5372931957    0.160 -1.506  3.5656  4.362    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -6.53e-15      0.00 7.504e-01 2.491e-01 8.343e-05 2.251e-05 2.041e-04 -1.000 4.640e-04 8.535 12.487 11.287 9.807 8.785 7.941 6.895 6.282 6.060
0.0004479 -1.54000 7.00000 0.2254081219 1.7735862732    0.225 -1.300  3.5821  4.371    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -8.76e-15      0.00 7.504e-01 2.491e-01 8.343e-05 2.251e-05 2.041e-04 -1.000 4.639e-04 8.020 11.607 10.538 9.156 8.198 7.416 6.424 5.801 5.583
